20,23,10,2,6,12,9,18,15,5,13,8,21,11,7,16,4,14,1,17
2,7,19,14,13,20,9,0,16,12,15,8,1,18,11,6,5,3,10,17
7,12,8,4,0,6,21,9,1,15,19,16,23,5,14,17,10,2,3,11
10,1,19,15,23,4,0,3,8,22,2,7,13,6,17,14,9,5,16,21
11,21,13,3,6,2,7,20,9,0,12,19,15,5,23,17,18,16,22,10
13,23,18,22,4,8,19,14,5,11,9,17,7,20,2,21,3,12,6,1
10,23,16,20,22,4,15,21,3,13,0,1,9,5,17,11,8,18,12,19
23,5,0,4,3,16,20,1,21,13,19,18,8,17,10,14,12,2,22,11
15,8,9,3,4,20,18,22,11,5,21,12,10,6,14,7,23,13,1,0
2,0,9,15,17,4,14,7,22,16,18,1,11,23,6,3,8,21,19,20
22,4,20,7,12,19,0,5,13,11,18,17,6,16,1,2,10,14,15,8
