11,19,14,0,12,15,20,2,6,9,13,21,23,5,7,17,16,4,3,22,8,10,1,18
14,18,17,7,4,22,11,10,8,19,2,16,1,13,9,0,21,3,23,12,20,6,5,15
2,15,1,7,22,17,12,6,19,20,0,10,11,4,23,8,3,13,9,18,5,21,14,16
20,14,22,18,23,8,5,17,7,1,13,19,3,0,11,4,15,12,9,21,2,6,10,16
5,7,21,17,0,9,16,14,10,4,23,3,11,12,15,20,6,1,22,18,13,19,8,2
7,20,5,23,11,3,15,14,13,19,2,22,1,6,0,9,8,17,10,12,16,21,4,18
14,19,11,23,9,6,1,15,5,8,20,22,16,12,10,17,21,7,2,3,18,0,13,4
20,13,9,22,16,7,18,0,19,1,23,2,14,17,4,21,3,10,6,5,15,8,11,12
2,15,5,1,18,14,4,16,22,10,20,21,9,23,3,7,11,19,6,0,17,8,13,12
8,1,5,0,9,22,12,6,7,16,13,4,18,3,17,11,15,23,21,20,14,2,19,10
