19,21,12,1,2,4,18,23,5,16,11,13,14,0,6,15,3,17,9,20
15,16,21,18,10,23,19,13,8,6,20,2,4,14,9,7,11,0,3,17
15,3,10,19,7,20,16,17,5,9,1,12,22,0,21,14,18,23,6,13
0,4,23,8,1,7,12,2,6,18,15,20,11,21,16,14,17,3,19,13
16,22,23,3,11,7,0,8,13,18,1,20,12,10,9,14,4,5,17,6
0,11,7,8,21,14,1,2,3,17,13,9,10,23,16,22,15,20,6,4
15,5,0,7,21,16,4,1,23,9,19,11,3,10,14,20,13,12,17,18
5,14,3,15,7,0,13,12,6,10,4,22,8,11,21,2,20,19,16,1
20,22,19,11,23,4,6,9,21,15,14,7,16,5,2,3,18,12,8,1
11,3,8,6,17,5,10,21,23,16,0,19,18,9,12,15,14,1,20,7
