20,11,0,1,4,17,14,13,10,9,25,3,27,23,8,5,28,21,18,7
27,15,21,14,24,23,2,22,26,29,7,8,6,0,19,3,1,25,5,17
21,16,12,17,20,24,11,28,15,26,18,27,9,0,6,2,19,3,10,7
10,4,11,19,18,2,16,24,21,13,17,29,9,25,15,12,27,14,23,28
12,1,24,18,13,17,16,27,8,0,15,14,26,25,2,21,20,4,7,3
8,21,15,13,19,3,27,0,4,10,9,11,1,14,29,25,12,28,7,2
9,8,20,6,23,11,1,12,25,19,14,15,22,2,21,5,28,24,16,7
5,6,18,26,22,1,29,11,27,24,8,7,13,17,12,23,25,16,28,0
18,15,28,11,14,22,5,10,13,25,16,6,19,1,27,24,20,29,23,12
6,15,26,20,16,10,0,21,9,4,22,29,11,28,7,19,3,23,5,14
23,4,20,26,10,12,5,22,8,19,13,9,17,6,29,1,2,3,24,18
